ID, Name, Degree
"Hannover Airport", HAJ, 216
"Krak�w John Paul II International Airport", KRK, 215
"New Chitose Airport", CTS, 213
"Il Caravaggio International Airport", BGY, 212
"Diagoras Airport", RHO, 211
"Brussels South Charleroi Airport", CRL, 211
"Nashville International Airport", BNA, 210
"East Midlands Airport", EMA, 209
"Tunis Carthage International Airport", TUN, 209
"King Fahd International Airport", DMM, 208
"Juanda International Airport", SUB, 203
"Lijiang Airport", LJG, 202
"Punta Cana International Airport", PUJ, 201
"Sevilla Airport", SVQ, 200
"Quanzhou Jinjiang International Airport", JJN, 200
"Cleveland Hopkins International Airport", CLE, 200
"Mashhad International Airport", MHD, 197
"Belgrade Nikola Tesla Airport", BEG, 197
"Cincinnati Northern Kentucky International Airport", CVG, 194
"Bordeaux-M�rignac Airport", BOD, 194
"Kaohsiung International Airport", KHH, 193
"Xining Caojiabu Airport", XNN, 191
"Hasanuddin International Airport", UPG, 189
"Jieyang Chaoshan International Airport", SWA, 188
"Edmonton International Airport", YEG, 188
"Hazrat Shahjalal International Airport", DAC, 187
"Newcastle Airport", NCL, 186
"Naha Airport", OKA, 185
"Yangon International Airport", RGN, 185
"Juan Santamaria International Airport", SJO, 184
"Tashkent International Airport", TAS, 184
"Pittsburgh International Airport", PIT, 183
"Kansas City International Airport", MCI, 183
"Eindhoven Airport", EIN, 181
"Luxembourg-Findel International Airport", LUX, 180
"General Mariano Escobedo International Airport", MTY, 180
"Murtala Muhammed International Airport", LOS, 179
"Norman Y. Mineta San Jose International Airport", SJC, 176
"Beirut Rafic Hariri International Airport", BEY, 175
"Mactan Cebu International Airport", CEB, 174
"Sofia Airport", SOF, 174
"Pisa International Airport", PSA, 172
"Indianapolis International Airport", IND, 170
"Jeju International Airport", CJU, 170
"Gothenburg-Landvetter Airport", GOT, 169
"Leeds Bradford Airport", LBA, 169
"Congonhas Airport", CGH, 169
"William P Hobby Airport", HOU, 169
"Sunan Shuofang International Airport", WUX, 167
"Bilbao Airport", BIO, 167
"Imam Khomeini International Airport", IKA, 165
"Adnan Menderes International Airport", ADB, 165
"Esenboga International Airport", ESB, 165
"Cochin International Airport", COK, 164
"Heydar Aliyev International Airport", GYD, 164
"Jorge Newbery Airpark", AEP, 164
"Almaty Airport", ALA, 163
"London City Airport", LCY, 162
"Prince Mohammad Bin Abdulaziz Airport", MED, 162
"Falcone�Borsellino Airport", PMO, 161
"Viracopos International Airport", VCP, 160
"John Glenn Columbus International Airport", CMH, 160
"Beijing Nanyuan Airport", NAY, 160
"Bergen Airport Flesland", BGO, 160
"Port Bouet Airport", ABJ, 159
"San Antonio International Airport", SAT, 157
"Deputado Luiz Eduardo Magalh�es International Airport", SSA, 154
"Vilnius International Airport", VNO, 151
"Dubrovnik Airport", DBV, 150
"Lynden Pindling International Airport", NAS, 150
"Kotoka International Airport", ACC, 149
"General Mitchell International Airport", MKE, 149
"Cape Town International Airport", CPT, 148
"Jinnah International Airport", KHI, 148
"Licenciado Gustavo D�az Ordaz International Airport", PVR, 147
"Southwest Florida International Airport", RSW, 147
"Milano Linate Airport", LIN, 146
"Madeira Airport", FNC, 145
"Hurghada International Airport", HRG, 145
"New Islamabad International Airport", ISB, 145
"Jos� Mart� International Airport", HAV, 145
"Tancredo Neves International Airport", CNF, 144
"Cairns International Airport", CNS, 143
"Los Cabos International Airport", SJD, 142
"Gdansk Lech Walesa Airport", GDN, 142
"Astana International Airport", TSE, 142
"Alama Iqbal International Airport", LHE, 141
"Metropolitan Oakland International Airport", OAK, 141
"Olbia Costa Smeralda Airport", OLB, 140
"Split Airport", SPU, 139
"Chiang Mai International Airport", CNX, 139
"Sacramento International Airport", SMF, 138
"Bari Karol Wojtyla Airport", BRI, 138
"Kota Kinabalu International Airport", BKI, 138
"Ioannis Kapodistrias International Airport", CFU, 137
"Krasnodar Pashkovsky International Airport", KRR, 137
"Keflavik International Airport", KEF, 136
"Da Nang International Airport", DAD, 136
"Nuremberg Airport", NUE, 135
"Zagreb Airport", ZAG, 134
"Douala International Airport", DLA, 134
"L�opold S�dar Senghor International Airport", DKR, 134
"Paris Beauvais Till� Airport", BVA, 134
"Liverpool John Lennon Airport", LPL, 133
"Monse�or �scar Arnulfo Romero International Airport", SAL, 132
"Memphis International Airport", MEM, 132
"Princess Juliana International Airport", SXM, 131
"Minsk National Airport", MSQ, 131
"Tribhuvan International Airport", KTM, 130
"Winnipeg / James Armstrong Richardson International Airport", YWG, 128
"Peretola Airport", FLR, 127
"Adelaide International Airport", ADL, 127
"Sardar Vallabhbhai Patel International Airport", AMD, 127
"Cagliari Elmas Airport", CAG, 126
"Irkutsk Airport", IKT, 126
"Yemelyanovo Airport", KJA, 125
"Dalaman International Airport", DLM, 124
"Halifax / Stanfield International Airport", YHZ, 124
"Salgado Filho Airport", POA, 124
"Sangster International Airport", MBJ, 124
"Penang International Airport", PEN, 123
"Phnom Penh International Airport", PNH, 123
"Zvartnots International Airport", EVN, 123
"Mal� International Airport", MLE, 122
"Dallas Love Field", DAL, 122
"Billund Airport", BLL, 121
"Mariscal Sucre International Airport", UIO, 121
"Al Maktoum International Airport", DWC, 120
"Siem Reap International Airport", REP, 120
"Stavanger Airport Sola", SVG, 119
"Kos Airport", KGS, 119
"Orlando Sanford International Airport", SFB, 119
"Berlin Brandenburg Airport", BER, 118
"Sharm El Sheikh International Airport", SSH, 118
"Pinto Martins International Airport", FOR, 117
"Dushanbe Airport", DYU, 117
"Khartoum International Airport", KRT, 117
"Queen Beatrix International Airport", AUA, 117
"Guararapes - Gilberto Freyre International Airport", REC, 116
"Jacksonville International Airport", JAX, 116
"Khabarovsk-Novy Airport", KHV, 115
"Las Am�ricas International Airport", SDQ, 115
"Tbilisi International Airport", TBS, 115
"Bradley International Airport", BDL, 115
"Ciampino�G. B. Pastine International Airport", CIA, 114
"Leipzig/Halle Airport", LEJ, 113
"Chania International Airport", CHQ, 113
"Ottawa Macdonald-Cartier International Airport", YOW, 113
"Bremen Airport", BRE, 111
"Vladivostok International Airport", VVO, 111
"Afonso Pena Airport", CWB, 111
"Lennart Meri Tallinn Airport", TLL, 110
"Bastia-Poretta Airport", BIA, 110
"Lille-Lesquin Airport", LIL, 109
